ID_1,NAME_1,AGE_5,AGE_25,AGE_45,AGE_65,AGE_85
1,Abruzzo,10170,12558,18297,16784,7935
2,Apulia,31277,42428,58318,49620,20966
3,Basilicata,4008,5728,7771,7533,3415
4,Calabria,15878,19581,26260,24211,10238
5,Campania,50420,64666,80696,66139,23627
6,Emilia-Romagna,35885,42539,67455,55464,26822
7,Friuli-Venezia Giulia,8835,11271,17023,15421,7890
8,Lazio,47990,55609,87263,70638,31663
9,Liguria,10259,13963,19843,20328,11742
10,Lombardia,83974,99108,149272,119550,55716
11,Marche,11550,14516,21823,19748,9953
12,Molise,2047,2969,3971,4081,1996
13,Piemonte,32716,40492,60592,55788,28503
14,Sardegna,10595,14040,24137,22699,9325
15,Sicily,41547,51821,68357,60984,24539
16,Toscana,27704,34471,54276,46651,24081
17,Trentino-Alto Adige,10331,12105,14674,12631,5330
18,Umbria,6545,8026,12387,11268,5838
19,Valle d'Aosta,957,1218,1786,1559,718
20,Veneto,38728,48853,71356,61245,27586
