id,ISO,NAME_0,ID_1,NAME_1,HASC_1,TYPE_1,ENGTYPE_1,VARNAME_1
,ITA,Italy,"1",Abruzzo,,Regione,Region,Abruzos|Abruzzen|Abruzzes|Abruzzi
,ITA,Italy,"2",Apulia,,Regione,Region,Apulien|Pouilles|Pouille|Puglia|Puglie
,ITA,Italy,"3",Basilicata,,Regione,Region,Basilicate|Lucania
,ITA,Italy,"4",Calabria,,Regione,Region,Calabre|Calabrie|Kalabrien
,ITA,Italy,"5",Campania,,Regione,Region,Campanha|Campanie|Kampanien
,ITA,Italy,"6",Emilia-Romagna,,Regione,Region,Emilia Romagna|Emilia|Emilia-Romaña|Émilie-Romagne
,ITA,Italy,"7",Friuli-Venezia Giulia,,Regione,Autonomous Region,Friuli Venezia Giulia|Friuli-Venecia Julia
,ITA,Italy,"8",Lazio,,Regione,Region,Lacio|Latium
,ITA,Italy,"9",Liguria,,Regione,Region,Ligurie|Ligurien
,ITA,Italy,"10",Lombardia,,Regione,Region,Lombardy|Lombardei|Lombardie
,ITA,Italy,"11",Marche,,Regione,Region,Marches|Marca
,ITA,Italy,"12",Molise,,Regione,Region,Molisa
,ITA,Italy,"13",Piemonte,,Regione,Region,Piemont|Piémont|Piemonte|Piedmont
,ITA,Italy,"14",Sardegna,,Regione,Autonomous Region,Cerdeña|Sardenha
,ITA,Italy,"15",Sicily,,Regione,Autonomous Region,Sicilia
,ITA,Italy,"16",Toscana,,Regione,Region,Tuscany|Toscane|Toskana
,ITA,Italy,"17",Trentino-Alto Adige,,Regione,Autonomous Region,Trentino - Alto Adige|Trentino-Alto Adigio|Trentino-South Tirol|Venezia Tridentina
,ITA,Italy,"18",Umbria,,Regione,Region,Ombrie|Umbrien
,ITA,Italy,"19",Valle d'Aosta,,Regione,Autonomous Region,Aosta Valley|Val d'Aoste|Vallée d'Aoste
,ITA,Italy,"20",Veneto,,Regione,Region,Venecia|Venetia|Venezia Euganea
